title,Author,ASIN,seedNode,Modularity Class,In-Degree,Out-Degree,Degree,Eigenvector Centrality
"Expressive Processing: Digital Fictions, Computer Games, and Software Studies",Noah Wardrip-Fruin,0262517531,false,0,1,10,11,0.007927359559471542
Creating Interactive Fiction with Inform 7,Aaron Reed,1435455061,,0,3,10,13,0.02271739098888641
Second Person: Role-Playing and Story in Games and Playable Media,"Pat Harrigan,Noah Wardrip-Fruin (eds)",0262514184,,0,7,10,17,0.2528767655469873
How to Do Things with Videogames (Electronic Mediations),Ian Bogost,081667647X,,0,18,10,28,0.6573219107612331
Twisty Little Passages: An Approach to Interactive Fiction,Nick Montfort,0262633183,false,0,5,10,15,0.040241919544252526
Hamlet on the Holodeck: The Future of Narrative in Cyberspace,Janet H. Murray,0262631873,false,0,12,10,22,0.29582374761809993
Cybertext: Perspectives on Ergodic Literature,Espen J. Aarseth,0801855799,false,0,18,10,28,0.44949638005463216
Unit Operations: An Approach to Videogame Criticism,Ian Bogost,0262524872,,0,4,10,14,0.2078511320128385
Third Person: Authoring and Exploring Vast Narratives,"Pat Harrigan,Noah Wardrip-Fruin (eds)",0262232634,,0,5,10,15,0.13002608589595588
Half-Real: Video Games between Real Rules and Fictional Worlds,Jesper Juul,0262516519,,0,6,10,16,0.22719011172949224
"First Person: New Media as Story, Performance, and Game","Noah Wardrip-Fruin,Pat Harrigan (eds)",0262232324,,0,1,10,11,0.003726079398740906
The Inform Designer&quot;s Manual,Graham Nelson,0971311935,,0,2,4,6,0.020070964665190722
Management Principles and Practices for Technical Communicators (Part of the Allyn & Bacon Series in Technical Communication),R. Stanley Dicks,0321165233,,0,1,0,1,0.007927359559471542
Datacloud: Toward A New Theory Of Online Work (New Dimensions in Computers and Composition),Johndan Johnson-Eilola,1572736356,,0,1,0,1,0.007927359559471542
Here Comes Everybody: The Power of Organizing Without Organizations,Clay Shirky,0143114948,,0,4,0,4,0.1690207784442116
The Art of Game Design: A book of lenses,Jesse Schell,0123694965,,0,5,0,5,0.1258850857541766
Level Up!: The Guide to Great Video Game Design,Scott Rogers,047068867X,,0,2,0,2,0.034506533434990785
Challenges for Game Designers,"Brenda Brathwaite, Ian Schreiber",158450580X,,0,2,0,2,0.034506533434990785
"First Person: New Media as Story, Performance, and Game","Noah Wardrip-Fruin,Pat Harrigan (eds)",0262731754,,0,9,10,19,0.3001184208479153
Shared Fantasy: Role Playing Games as Social Worlds,Gary Alan Fine,0226249441,,0,3,0,3,0.0785665537373343
"Quests: Design, Theory, and History in Games and Narratives",Jeff Howard,1568813473,,0,4,10,14,0.08866155685643252
Dungeons and Desktops: The History of Computer Role-playing Games,Matt Barton,1568814119,,0,3,0,3,0.07362262798548642
Persuasive Games: The Expressive Power of Videogames,Ian Bogost,0262514885,,0,7,9,16,0.4427087606592577
The Video Game Theory Reader,"Mark J. P. Wolf, Bernard Perron",0415965799,,0,1,0,1,0.047858732615469045
The Daily You: How the New Advertising Industry Is Defining Your Identity and Your Worth,Joseph Turow,0300188013,,0,1,0,1,0.1155099640649783
Gaming: Essays On Algorithmic Culture (Electronic Mediations),Alexander R. Galloway,0816648514,,0,5,10,15,0.26582796524571944
"Rise of the Videogame Zinesters: How Freaks, Normals, Amateurs, Artists, Dreamers, Drop-outs, Queers, Housewives, and People Like You Are Taking Back an Art Form",Anna Anthropy,1609803728,,0,4,0,4,0.2127550949493566
The Googlization of Everything: (And Why We Should Worry),Siva Vaidhyanathan,0520258827,,0,1,0,1,0.1155099640649783
Consent of the Networked: The Worldwide Struggle For Internet Freedom,Rebecca MacKinnon,0465024424,,0,1,0,1,0.1155099640649783
Personal Connections in the Digital Age (DMS - Digital Media and Society),Nancy Baym,0745643329,,0,1,0,1,0.1155099640649783
Coding Freedom: The Ethics and Aesthetics of Hacking,E. Gabriella Coleman,0691144613,,1,3,0,3,0.18686732047943472
Extra Lives: Why Video Games Matter,Tom Bissell,0307474313,,0,5,0,5,0.314393897090206
Escape (Choose Your Own Adventure #8),R. A. Montgomery,1933390085,,3,1,10,11,0.012143605105719164
10 PRINT CHR$(205.5+RND(1)); : GOTO 10 (Software Studies),"Nick Montfort, Patsy Baudoin, John Bell, Ian Bogost, Jeremy Douglass, Mark C. Marino, Michael Mateas, Casey Reas, Mark Sample, Noah Vawter",0262018462,,1,3,10,13,0.13750437065991483
Electronic Literature: New Horizons for the Literary (WARD PHILLIPS LECTUR),N. Katherine Hayles,0268030855,,4,12,10,22,0.4689038352775454
Racing the Beam: The Atari Video Computer System (Platform Studies),"Nick Montfort, Ian Bogost",026201257X,,1,2,10,12,0.034799777596659094
Convergence Culture: Where Old and New Media Collide,Henry Jenkins,0814742955,,2,6,10,16,0.21767780987637877
"The Functions of Role-Playing Games: How Participants Create Community, Solve Problems and Explore Identity",Sarah Lynne Bowman,0786447109,,2,1,10,11,0.05815039152749281
Rules of Play: Game Design Fundamentals,"Katie Salen, Eric Zimmerman",0262240459,,0,4,10,14,0.13896784333648798
The New Media Reader,"Noah Wardrip-Fruin,Nick Montfort (eds)",0262232278,,2,3,10,13,0.10121858275727186
Computers as Theatre,Brenda Laurel,0201550601,,0,2,10,12,0.07900110302617278
Hamlet on the Holodeck: The Future of Narrative in Cyberspace,Janet H. Murray,0684827239,,0,3,10,13,0.10531083568927128
Cybertext Poetics: The Critical Landscape of New Media Literary Theory (International Texts in Critical Media Aesthetics),Markku Eskelinen,1441107452,false,7,4,9,13,0.11690534677234343
"Alien Phenomenology, or What It&quot;s Like to Be a Thing (Posthumanities)",Ian Bogost,0816678987,,6,7,10,17,0.5415531191630691
Games of Empire: Global Capitalism and Video Games (Electronic Mediations),"Nick Dyer-Witheford, Greig de Peuter",0816666113,,0,2,0,2,0.08148326723091581
Gamer Theory,McKenzie Wark,0674025199,,0,1,0,1,0.03671423442667514
"The Visual Story, Second Edition: Creating the Visual Structure of Film, TV and Digital Media",Bruce Block,0240807790,,0,1,0,1,0.025834633919221608
Six Memos for the Next Millennium/the Charles Eliot Norton Lectures 1985-86 (Vintage International),Italo Calvino,0679742379,,0,1,0,1,0.025834633919221608
Homo Ludens: A Study of the Play-Element in Culture,Johan Huizinga,0807046817,,0,3,0,3,0.09346435921946511
InDesign CS6: Visual QuickStart Guide,Sandee Cohen,0321822536,,0,1,0,1,0.025834633919221608
Reality Is Broken: Why Games Make Us Better and How They Can Change the World,Jane McGonigal,1594202850,,0,4,0,4,0.17784102833297719
The Game Design Reader: A Rules of Play Anthology,"Katie Salen,Eric Zimmerman (eds)",0262195364,,0,3,0,3,0.07617113712241345
A Theory of Fun for Game Design,Raph Koster,1932111972,,0,4,0,4,0.1597417033232938
Second Person: Role-Playing and Story in Games and Playable Media,"Mark C. Marino,Pat Harrigan,Noah Wardrip-Fruin (eds)",0262083566,,0,2,0,2,0.02174077410161377
The Hero with a Thousand Faces (The Collected Works of Joseph Campbell),Joseph Campbell,1577315936,,0,1,0,1,0.0028245852160226985
"The Art of Immersion: How the Digital Generation Is Remaking Hollywood, Madison Avenue, and the Way We Tell Stories",Frank Rose,0393076016,,2,2,0,2,0.045583454819761796
